fold,method,alpha,type,K,TopN,RMSE,MAD,Precision,Recall,lambda
4,acos,0.05,optimized,10,5,1.0458184970428308,0.8364865813101854,0.6638388123011665,0.7150490867995494,0.005
4,acos,0.05,optimized,10,10,1.0458184970428308,0.8364865813101854,0.6260322510057399,0.8797005503841798,0.005
4,acos,0.05,optimized,10,15,1.0458184970428308,0.8364865813101854,0.6020208082244138,0.9425662106215252,0.005
4,acos,0.05,optimized,10,20,1.0458184970428308,0.8364865813101854,0.5908939244929301,0.9739443131120512,0.005
4,acos,0.05,optimized,10,25,1.0458184970428308,0.8364865813101854,0.584289467428793,0.987455971118105,0.005
4,acos,0.05,optimized,10,30,1.0458184970428308,0.8364865813101854,0.5807895331587559,0.9942797856601125,0.005
4,acos,0.05,optimized,10,35,1.0458184970428308,0.8364865813101854,0.5790067650809592,0.9972387581068531,0.005
4,acos,0.05,optimized,10,40,1.0458184970428308,0.8364865813101854,0.578056281156205,0.9987318250096974,0.005
4,acos,0.05,optimized,10,45,1.0458184970428308,0.8364865813101854,0.5776376168427888,0.9991929308191875,0.005
4,acos,0.05,optimized,10,50,1.0458184970428308,0.8364865813101854,0.5774020431490995,0.9994480078040101,0.005
4,acos,0.05,optimized,20,5,1.0198754817667341,0.8147969428928123,0.6710498409331919,0.7205185330501936,0.005
4,acos,0.05,optimized,20,10,1.0198754817667341,0.8147969428928123,0.6251838946960898,0.8779595120653345,0.005
4,acos,0.05,optimized,20,15,1.0198754817667341,0.8147969428928123,0.6035761281254388,0.9443098494986281,0.005
4,acos,0.05,optimized,20,20,1.0198754817667341,0.8147969428928123,0.5915832139945206,0.9739760377970006,0.005
4,acos,0.05,optimized,20,25,1.0198754817667341,0.8147969428928123,0.5846712277681355,0.9881777780765192,0.005
4,acos,0.05,optimized,20,30,1.0198754817667341,0.8147969428928123,0.5808955776974621,0.9945900619432675,0.005
4,acos,0.05,optimized,20,35,1.0198754817667341,0.8147969428928123,0.5790673619602198,0.9973475852088642,0.005
4,acos,0.05,optimized,20,40,1.0198754817667341,0.8147969428928123,0.5780827922908814,0.998762874801244,0.005
