fold,method,alpha,type,K,TopN,RMSE,MAD,lambda
4,acos,0.05,optimized,10,5,1.0458184970428308,0.8364865813101854,0.002
4,acos,0.05,optimized,10,10,1.0458184970428308,0.8364865813101854,0.002
4,acos,0.05,optimized,10,15,1.0458184970428308,0.8364865813101854,0.002
4,acos,0.05,optimized,10,20,1.0458184970428308,0.8364865813101854,0.002
4,acos,0.05,optimized,10,25,1.0458184970428308,0.8364865813101854,0.002
4,acos,0.05,optimized,10,30,1.0458184970428308,0.8364865813101854,0.002
4,acos,0.05,optimized,10,35,1.0458184970428308,0.8364865813101854,0.002
4,acos,0.05,optimized,10,40,1.0458184970428308,0.8364865813101854,0.002
4,acos,0.05,optimized,10,45,1.0458184970428308,0.8364865813101854,0.002
4,acos,0.05,optimized,10,50,1.0458184970428308,0.8364865813101854,0.002
4,acos,0.05,optimized,20,5,1.0198754817667341,0.8147969428928123,0.002
4,acos,0.05,optimized,20,10,1.0198754817667341,0.8147969428928123,0.002
4,acos,0.05,optimized,20,15,1.0198754817667341,0.8147969428928123,0.002
4,acos,0.05,optimized,20,20,1.0198754817667341,0.8147969428928123,0.002
4,acos,0.05,optimized,20,25,1.0198754817667341,0.8147969428928123,0.002
4,acos,0.05,optimized,20,30,1.0198754817667341,0.8147969428928123,0.002
4,acos,0.05,optimized,20,35,1.0198754817667341,0.8147969428928123,0.002
4,acos,0.05,optimized,20,40,1.0198754817667341,0.8147969428928123,0.002
4,acos,0.05,optimized,20,45,1.0198754817667341,0.8147969428928123,0.002
4,acos,0.05,optimized,20,50,1.0198754817667341,0.8147969428928123,0.002
4,acos,0.05,optimized,30,5,1.0108371873309332,0.8058876693592799,0.002
4,acos,0.05,optimized,30,10,1.0108371873309332,0.8058876693592799,0.002
4,acos,0.05,optimized,30,15,1.0108371873309332,0.8058876693592799,0.002
4,acos,0.05,optimized,30,20,1.0108371873309332,0.8058876693592799,0.002
4,acos,0.05,optimized,30,25,1.0108371873309332,0.8058876693592799,0.002
4,acos,0.05,optimized,30,30,1.0108371873309332,0.8058876693592799,0.002
4,acos,0.05,optimized,30,35,1.0108371873309332,0.8058876693592799,0.002
4,acos,0.05,optimized,30,40,1.0108371873309332,0.8058876693592799,0.002
4,acos,0.05,optimized,30,45,1.0108371873309332,0.8058876693592799,0.002
4,acos,0.05,optimized,30,50,1.0108371873309332,0.8058876693592799,0.002
4,acos,0.1,optimized,40,5,1.009627484758558,0.8046252726747527,0.002
4,acos,0.1,optimized,40,10,1.009627484758558,0.8046252726747527,0.002
4,acos,0.1,optimized,40,15,1.009627484758558,0.8046252726747527,0.002
4,acos,0.1,optimized,40,20,1.009627484758558,0.8046252726747527,0.002
4,acos,0.1,optimized,40,25,1.009627484758558,0.8046252726747527,0.002
4,acos,0.1,optimized,40,30,1.009627484758558,0.8046252726747527,0.002
4,acos,0.1,optimized,40,35,1.009627484758558,0.8046252726747527,0.002
4,acos,0.1,optimized,40,40,1.009627484758558,0.8046252726747527,0.002
