fold,method,alpha,type,K,TopN,RMSE,MAD,Precision,Recall,lambda
4,acos,0.05,optimized,10,5,1.0458184970428308,0.8364865813101854,0.6638388123011665,0.7150490867995494,0.004
4,acos,0.05,optimized,10,10,1.0458184970428308,0.8364865813101854,0.6260322510057399,0.8797005503841798,0.004
4,acos,0.05,optimized,10,15,1.0458184970428308,0.8364865813101854,0.6020208082244138,0.9425662106215252,0.004
4,acos,0.05,optimized,10,20,1.0458184970428308,0.8364865813101854,0.5908939244929301,0.9739443131120512,0.004
4,acos,0.05,optimized,10,25,1.0458184970428308,0.8364865813101854,0.584289467428793,0.987455971118105,0.004
4,acos,0.05,optimized,10,30,1.0458184970428308,0.8364865813101854,0.5807895331587559,0.9942797856601125,0.004
4,acos,0.05,optimized,10,35,1.0458184970428308,0.8364865813101854,0.5790067650809592,0.9972387581068531,0.004
4,acos,0.05,optimized,10,40,1.0458184970428308,0.8364865813101854,0.578056281156205,0.9987318250096974,0.004
4,acos,0.05,optimized,10,45,1.0458184970428308,0.8364865813101854,0.5776376168427888,0.9991929308191875,0.004
4,acos,0.05,optimized,10,50,1.0458184970428308,0.8364865813101854,0.5774020431490995,0.9994480078040101,0.004
4,acos,0.05,optimized,20,5,1.0198754817667341,0.8147969428928123,0.6710498409331919,0.7205185330501936,0.004
4,acos,0.05,optimized,20,10,1.0198754817667341,0.8147969428928123,0.6251838946960898,0.8779595120653345,0.004
4,acos,0.05,optimized,20,15,1.0198754817667341,0.8147969428928123,0.6035761281254388,0.9443098494986281,0.004
4,acos,0.05,optimized,20,20,1.0198754817667341,0.8147969428928123,0.5915832139945206,0.9739760377970006,0.004
4,acos,0.05,optimized,20,25,1.0198754817667341,0.8147969428928123,0.5846712277681355,0.9881777780765192,0.004
4,acos,0.05,optimized,20,30,1.0198754817667341,0.8147969428928123,0.5808955776974621,0.9945900619432675,0.004
4,acos,0.05,optimized,20,35,1.0198754817667341,0.8147969428928123,0.5790673619602198,0.9973475852088642,0.004
4,acos,0.05,optimized,20,40,1.0198754817667341,0.8147969428928123,0.5780827922908814,0.998762874801244,0.004
4,acos,0.05,optimized,20,45,1.0198754817667341,0.8147969428928123,0.5776376168427888,0.9991929308191875,0.004
4,acos,0.05,optimized,20,50,1.0198754817667341,0.8147969428928123,0.5774232520568408,0.9994912230157647,0.004
4,acos,0.05,optimized,30,5,1.0108371873309332,0.8058876693592799,0.6746553552492047,0.7246323208405945,0.004
4,acos,0.05,optimized,30,10,1.0108371873309332,0.8058876693592799,0.62688060731539,0.8798266363703534,0.004
4,acos,0.05,optimized,30,15,1.0108371873309332,0.8058876693592799,0.6033640390480264,0.9440866077877963,0.004
4,acos,0.05,optimized,30,20,1.0108371873309332,0.8058876693592799,0.5923255257654645,0.975446057775604,0.004
4,acos,0.05,optimized,30,25,1.0108371873309332,0.8058876693592799,0.5849257346610305,0.9883697785234767,0.004
4,acos,0.05,optimized,30,30,1.0108371873309332,0.8058876693592799,0.5811076667748747,0.9949564417505021,0.004
4,acos,0.05,optimized,30,35,1.0108371873309332,0.8058876693592799,0.5790976603998502,0.9975239731589765,0.004
4,acos,0.05,optimized,30,40,1.0108371873309332,0.8058876693592799,0.5780297700215284,0.9987113716415905,0.004
