fold,method,alpha,type,K,TopN,RMSE,MAD,lambda
3,acos,0.05,optimized,10,5,1.0466516942834982,0.8397856167668549,0.003
3,acos,0.05,optimized,10,10,1.0466516942834982,0.8397856167668549,0.003
3,acos,0.05,optimized,10,15,1.0466516942834982,0.8397856167668549,0.003
3,acos,0.05,optimized,10,20,1.0466516942834982,0.8397856167668549,0.003
3,acos,0.05,optimized,10,25,1.0466516942834982,0.8397856167668549,0.003
3,acos,0.05,optimized,10,30,1.0466516942834982,0.8397856167668549,0.003
3,acos,0.05,optimized,10,35,1.0466516942834982,0.8397856167668549,0.003
3,acos,0.05,optimized,10,40,1.0466516942834982,0.8397856167668549,0.003
3,acos,0.05,optimized,10,45,1.0466516942834982,0.8397856167668549,0.003
3,acos,0.05,optimized,10,50,1.0466516942834982,0.8397856167668549,0.003
3,acos,0.05,optimized,20,5,1.018470655777871,0.8161825373851285,0.003
3,acos,0.05,optimized,20,10,1.018470655777871,0.8161825373851285,0.003
3,acos,0.05,optimized,20,15,1.018470655777871,0.8161825373851285,0.003
3,acos,0.05,optimized,20,20,1.018470655777871,0.8161825373851285,0.003
3,acos,0.05,optimized,20,25,1.018470655777871,0.8161825373851285,0.003
3,acos,0.05,optimized,20,30,1.018470655777871,0.8161825373851285,0.003
3,acos,0.05,optimized,20,35,1.018470655777871,0.8161825373851285,0.003
3,acos,0.05,optimized,20,40,1.018470655777871,0.8161825373851285,0.003
3,acos,0.05,optimized,20,45,1.018470655777871,0.8161825373851285,0.003
3,acos,0.05,optimized,20,50,1.018470655777871,0.8161825373851285,0.003
3,acos,0.15,optimized,30,5,1.0128378565461233,0.8125672128555688,0.003
3,acos,0.15,optimized,30,10,1.0128378565461233,0.8125672128555688,0.003
3,acos,0.15,optimized,30,15,1.0128378565461233,0.8125672128555688,0.003
3,acos,0.15,optimized,30,20,1.0128378565461233,0.8125672128555688,0.003
3,acos,0.15,optimized,30,25,1.0128378565461233,0.8125672128555688,0.003
3,acos,0.15,optimized,30,30,1.0128378565461233,0.8125672128555688,0.003
3,acos,0.15,optimized,30,35,1.0128378565461233,0.8125672128555688,0.003
3,acos,0.15,optimized,30,40,1.0128378565461233,0.8125672128555688,0.003
3,acos,0.15,optimized,30,45,1.0128378565461233,0.8125672128555688,0.003
3,acos,0.15,optimized,30,50,1.0128378565461233,0.8125672128555688,0.003
3,acos,0.2,optimized,40,5,1.0113820076515645,0.8106191362911912,0.003
3,acos,0.2,optimized,40,10,1.0113820076515645,0.8106191362911912,0.003
3,acos,0.2,optimized,40,15,1.0113820076515645,0.8106191362911912,0.003
3,acos,0.2,optimized,40,20,1.0113820076515645,0.8106191362911912,0.003
3,acos,0.2,optimized,40,25,1.0113820076515645,0.8106191362911912,0.003
3,acos,0.2,optimized,40,30,1.0113820076515645,0.8106191362911912,0.003
3,acos,0.2,optimized,40,35,1.0113820076515645,0.8106191362911912,0.003
3,acos,0.2,optimized,40,40,1.0113820076515645,0.8106191362911912,0.003
3,acos,0.2,optimized,40,45,1.0113820076515645,0.8106191362911912,0.003
3,acos,0.2,optimized,40,50,1.0113820076515645,0.8106191362911912,0.003
3,acos,0.25,optimized,50,5,1.0116137638602793,0.8102847150139338,0.003
3,acos,0.25,optimized,50,10,1.0116137638602793,0.8102847150139338,0.003
3,acos,0.25,optimized,50,15,1.0116137638602793,0.8102847150139338,0.003
3,acos,0.25,optimized,50,20,1.0116137638602793,0.8102847150139338,0.003
3,acos,0.25,optimized,50,25,1.0116137638602793,0.8102847150139338,0.003
