fold,method,alpha,type,K,TopN,validation_mse,validation_rmse,validation_precision,validation_recall,regularization_penalty,regularized_score,test_RMSE,test_MAD,lambda
6,acos,0.05,optimized,10,5,1.0478944789007216,1.023667171936622,0.7106574761399788,0.5666828081574474,0.00285,1.0507444789007216,1.0508082331586612,0.8370669342370143,0.003
6,acos,0.05,optimized,10,10,1.0478944789007216,1.023667171936622,0.6619215943712232,0.7594036975319166,0.00285,1.0507444789007216,1.0508082331586612,0.8370669342370143,0.003
6,acos,0.05,optimized,10,15,1.0478944789007216,1.023667171936622,0.6384628509230842,0.85032289442546,0.00285,1.0507444789007216,1.0508082331586612,0.8370669342370143,0.003
6,acos,0.05,optimized,10,20,1.0478944789007216,1.023667171936622,0.6211806644721983,0.9052180908565696,0.00285,1.0507444789007216,1.0508082331586612,0.8370669342370143,0.003
6,acos,0.05,optimized,10,25,1.0478944789007216,1.023667171936622,0.6077001801203045,0.9371656397085176,0.00285,1.0507444789007216,1.0508082331586612,0.8370669342370143,0.003
6,acos,0.05,optimized,10,30,1.0478944789007216,1.023667171936622,0.5988920522446372,0.958478982721384,0.00285,1.0507444789007216,1.0508082331586612,0.8370669342370143,0.003
6,acos,0.05,optimized,10,35,1.0478944789007216,1.023667171936622,0.5930091456134575,0.9732414000787,0.00285,1.0507444789007216,1.0508082331586612,0.8370669342370143,0.003
6,acos,0.05,optimized,10,40,1.0478944789007216,1.023667171936622,0.5884431928446806,0.9826192158638516,0.00285,1.0507444789007216,1.0508082331586612,0.8370669342370143,0.003
6,acos,0.05,optimized,10,45,1.0478944789007216,1.023667171936622,0.5851191301400221,0.988807763577512,0.00285,1.0507444789007216,1.0508082331586612,0.8370669342370143,0.003
6,acos,0.05,optimized,10,50,1.0478944789007216,1.023667171936622,0.582440188219788,0.9925155485669104,0.00285,1.0507444789007216,1.0508082331586612,0.8370669342370143,0.003
6,acos,0.05,optimized,20,5,1.0025625625142436,1.0012804614663384,0.7157476139978791,0.5711181513014154,0.00285,1.0054125625142436,1.0177170972938352,0.8096056528289898,0.003
6,acos,0.05,optimized,20,10,1.0025625625142436,1.0012804614663384,0.6689205339258361,0.7655286365005017,0.00285,1.0054125625142436,1.0177170972938352,0.8096056528289898,0.003
6,acos,0.05,optimized,20,15,1.0025625625142436,1.0012804614663384,0.6399474744649719,0.8520594141091838,0.00285,1.0054125625142436,1.0177170972938352,0.8096056528289898,0.003
6,acos,0.05,optimized,20,20,1.0025625625142436,1.0012804614663384,0.6234075997850298,0.9072822790915362,0.00285,1.0054125625142436,1.0177170972938352,0.8096056528289898,0.003
6,acos,0.05,optimized,20,25,1.0025625625142436,1.0012804614663384,0.6095665640015346,0.9394456854093364,0.00285,1.0054125625142436,1.0177170972938352,0.8096056528289898,0.003
6,acos,0.05,optimized,20,30,1.0025625625142436,1.0012804614663384,0.6006948094026436,0.960595133939833,0.00285,1.0054125625142436,1.0177170972938352,0.8096056528289898,0.003
6,acos,0.05,optimized,20,35,1.0025625625142436,1.0012804614663384,0.59406959100052,0.9745406951229176,0.00285,1.0054125625142436,1.0177170972938352,0.8096056528289898,0.003
6,acos,0.05,optimized,20,40,1.0025625625142436,1.0012804614663384,0.5889999266728885,0.9834073780399324,0.00285,1.0054125625142436,1.0177170972938352,0.8096056528289898,0.003
6,acos,0.05,optimized,20,45,1.0025625625142436,1.0012804614663384,0.5854019155765722,0.989109038976116,0.00285,1.0054125625142436,1.0177170972938352,0.8096056528289898,0.003
6,acos,0.05,optimized,20,50,1.0025625625142436,1.0012804614663384,0.5825462327584943,0.9926111288755464,0.00285,1.0054125625142436,1.0177170972938352,0.8096056528289898,0.003
6,acos,0.1,optimized,30,5,0.9972403962005986,0.998619244857918,0.7182926829268292,0.5730626697144027,0.0027,0.9999403962005986,1.0117249071360839,0.8035076566905455,0.003
6,acos,0.1,optimized,30,10,0.9972403962005986,0.998619244857918,0.6681782221548924,0.7641626736144834,0.0027,0.9999403962005986,1.0117249071360839,0.8035076566905455,0.003
6,acos,0.1,optimized,30,15,0.9972403962005986,0.998619244857918,0.6412907052885845,0.8526213327901352,0.0027,0.9999403962005986,1.0117249071360839,0.8035076566905455,0.003
6,acos,0.1,optimized,30,20,0.9972403962005986,0.998619244857918,0.6240438670172672,0.9083629305625028,0.0027,0.9999403962005986,1.0117249071360839,0.8035076566905455,0.003
6,acos,0.1,optimized,30,25,0.9972403962005986,0.998619244857918,0.6099059065253946,0.9394635972535648,0.0027,0.9999403962005986,1.0117249071360839,0.8035076566905455,0.003
6,acos,0.1,optimized,30,30,0.9972403962005986,0.998619244857918,0.6011543357370372,0.9611208644761224,0.0027,0.9999403962005986,1.0117249071360839,0.8035076566905455,0.003
6,acos,0.1,optimized,30,35,0.9972403962005986,0.998619244857918,0.5939786956816291,0.9742621624168396,0.0027,0.9999403962005986,1.0117249071360839,0.8035076566905455,0.003
6,acos,0.1,optimized,30,40,0.9972403962005986,0.998619244857918,0.589079460076918,0.9832863153825684,0.0027,0.9999403962005986,1.0117249071360839,0.8035076566905455,0.003
6,acos,0.1,optimized,30,45,0.9972403962005986,0.998619244857918,0.5854961773887555,0.9892664091940848,0.0027,0.9999403962005986,1.0117249071360839,0.8035076566905455,0.003
6,acos,0.1,optimized,30,50,0.9972403962005986,0.998619244857918,0.5826098594817182,0.9927783276582722,0.0027,0.9999403962005986,1.0117249071360839,0.8035076566905455,0.003
6,acos,0.15,optimized,40,5,0.9935978509394668,0.9967937855642294,0.721898197242842,0.5725173029568308,0.00255,0.9961478509394669,1.009926723121429,0.8033690378032,0.003
6,acos,0.15,optimized,40,10,0.9935978509394668,0.9967937855642294,0.6691326230032487,0.7640821063221763,0.00255,0.9961478509394669,1.009926723121429,0.8033690378032,0.003
6,acos,0.15,optimized,40,15,0.9935978509394668,0.9967937855642294,0.6431288106261595,0.8538649779241981,0.00255,0.9961478509394669,1.009926723121429,0.8033690378032,0.003
6,acos,0.15,optimized,40,20,0.9935978509394668,0.9967937855642294,0.6242029338253265,0.9086998675708872,0.00255,0.9961478509394669,1.009926723121429,0.8033690378032,0.003
6,acos,0.15,optimized,40,25,0.9935978509394668,0.9967937855642294,0.609948324340877,0.9399171854537284,0.00255,0.9961478509394669,1.009926723121429,0.8033690378032,0.003
6,acos,0.15,optimized,40,30,0.9935978509394668,0.9967937855642294,0.6006948094026436,0.9605755545509246,0.00255,0.9961478509394669,1.009926723121429,0.8033690378032,0.003
6,acos,0.15,optimized,40,35,0.9935978509394668,0.9967937855642294,0.5941604863194113,0.9744800094118956,0.00255,0.9961478509394669,1.009926723121429,0.8033690378032,0.003
6,acos,0.15,optimized,40,40,0.9935978509394668,0.9967937855642294,0.5893710825583603,0.9837319835718492,0.00255,0.9961478509394669,1.009926723121429,0.8033690378032,0.003
6,acos,0.15,optimized,40,45,0.9935978509394668,0.9967937855642294,0.5854961773887555,0.989373651803873,0.00255,0.9961478509394669,1.009926723121429,0.8033690378032,0.003
6,acos,0.15,optimized,40,50,0.9935978509394668,0.9967937855642294,0.5825674416662355,0.9926595928076676,0.00255,0.9961478509394669,1.009926723121429,0.8033690378032,0.003
6,acos,0.2,optimized,50,5,0.9949120237195712,0.9974527676634974,0.7216861081654296,0.5740883735629269,0.0024000000000000002,0.9973120237195712,1.0108018531721583,0.8039246760533553,0.003
6,acos,0.2,optimized,50,10,0.9949120237195712,0.9974527676634974,0.6708293356225488,0.7652548439950374,0.0024000000000000002,0.9973120237195712,1.0108018531721583,0.8039246760533553,0.003
6,acos,0.2,optimized,50,15,0.9949120237195712,0.9974527676634974,0.6417148834434093,0.8531869262980983,0.0024000000000000002,0.9973120237195712,1.0108018531721583,0.8039246760533553,0.003
6,acos,0.2,optimized,50,20,0.9949120237195712,0.9974527676634974,0.6232485329769704,0.9072762053351372,0.0024000000000000002,0.9973120237195712,1.0108018531721583,0.8039246760533553,0.003
6,acos,0.2,optimized,50,25,0.9949120237195712,0.9974527676634974,0.6097786530789472,0.9395195153736512,0.0024000000000000002,0.9973120237195712,1.0108018531721583,0.8039246760533553,0.003
6,acos,0.2,optimized,50,30,0.9949120237195712,0.9974527676634974,0.6012957284553123,0.9613756647223312,0.0024000000000000002,0.9973120237195712,1.0108018531721583,0.8039246760533553,0.003
6,acos,0.2,optimized,50,35,0.9949120237195712,0.9974527676634974,0.5940998894401505,0.974436615800634,0.0024000000000000002,0.9973120237195712,1.0108018531721583,0.8039246760533553,0.003
6,acos,0.2,optimized,50,40,0.9949120237195712,0.9974527676634974,0.5892915491543308,0.983564757547438,0.0024000000000000002,0.9973120237195712,1.0108018531721583,0.8039246760533553,0.003
6,acos,0.2,optimized,50,45,0.9949120237195712,0.9974527676634974,0.5855433082948471,0.9893384077674372,0.0024000000000000002,0.9973120237195712,1.0108018531721583,0.8039246760533553,0.003
6,acos,0.2,optimized,50,50,0.9949120237195712,0.9974527676634974,0.5824826060352706,0.9925081442900824,0.0024000000000000002,0.9973120237195712,1.0108018531721583,0.8039246760533553,0.003
6,acos,0.25,optimized,60,5,0.996820853592894,0.9984091614127416,0.7225344644750795,0.5739656072123223,0.0022500000000000003,0.9990708535928939,1.011136914123292,0.804611150349083,0.003
6,acos,0.25,optimized,60,10,0.996820853592894,0.9984091614127416,0.6702991129290176,0.7643537643062478,0.0022500000000000003,0.9990708535928939,1.011136914123292,0.804611150349083,0.003
6,acos,0.25,optimized,60,15,0.996820853592894,0.9984091614127416,0.6413614016477219,0.8527525083344465,0.0022500000000000003,0.9990708535928939,1.011136914123292,0.804611150349083,0.003
6,acos,0.25,optimized,60,20,0.996820853592894,0.9984091614127416,0.6237787556705016,0.907789568162115,0.0022500000000000003,0.9990708535928939,1.011136914123292,0.804611150349083,0.003
6,acos,0.25,optimized,60,25,0.996820853592894,0.9984091614127416,0.6094817283705696,0.9390249568887828,0.0022500000000000003,0.9990708535928939,1.011136914123292,0.804611150349083,0.003
6,acos,0.25,optimized,60,30,0.996820853592894,0.9984091614127416,0.6010836393778998,0.9611865110620316,0.0022500000000000003,0.9990708535928939,1.011136914123292,0.804611150349083,0.003
6,acos,0.25,optimized,60,35,0.996820853592894,0.9984091614127416,0.5938878003627379,0.9740507035946014,0.0022500000000000003,0.9990708535928939,1.011136914123292,0.804611150349083,0.003
6,acos,0.25,optimized,60,40,0.996820853592894,0.9984091614127416,0.5893445714236838,0.9836238044561686,0.0022500000000000003,0.9990708535928939,1.011136914123292,0.804611150349083,0.003
6,acos,0.25,optimized,60,45,0.996820853592894,0.9984091614127416,0.5856611355600763,0.9894952169476476,0.0022500000000000003,0.9990708535928939,1.011136914123292,0.804611150349083,0.003
6,acos,0.25,optimized,60,50,0.996820853592894,0.9984091614127416,0.5825674416662355,0.9926173941791352,0.0022500000000000003,0.9990708535928939,1.011136914123292,0.804611150349083,0.003
6,acos,0.25,optimized,70,5,0.998761189977838,0.9993804030387218,0.721898197242842,0.5738027040752753,0.0022500000000000003,1.001011189977838,1.0114884845900776,0.8047041557274838,0.003
6,acos,0.25,optimized,70,10,0.998761189977838,0.9993804030387218,0.6698749347741925,0.7644494783146796,0.0022500000000000003,1.001011189977838,1.0114884845900776,0.8047041557274838,0.003
