fold,method,alpha,type,K,TopN,validation_mse,validation_rmse,validation_precision,validation_recall,regularization_penalty,regularized_score,test_RMSE,test_MAD,lambda
1,acos,0.05,optimized,10,5,1.049398163641189,1.024401368429967,0.7085896076352068,0.5740737906621614,0.0019,1.051298163641189,1.045132133917077,0.8423021756426945,0.002
1,acos,0.05,optimized,10,10,1.049398163641189,1.024401368429967,0.6596147048427006,0.7623206279144685,0.0019,1.051298163641189,1.045132133917077,0.8423021756426945,0.002
1,acos,0.05,optimized,10,15,1.049398163641189,1.024401368429967,0.633666545543534,0.8495032069617938,0.0019,1.051298163641189,1.045132133917077,0.8423021756426945,0.002
1,acos,0.05,optimized,10,20,1.049398163641189,1.024401368429967,0.6174964359860646,0.903941733112075,0.0019,1.051298163641189,1.045132133917077,0.8423021756426945,0.002
1,acos,0.05,optimized,10,25,1.049398163641189,1.024401368429967,0.6039778500489716,0.9359248027124376,0.0019,1.051298163641189,1.045132133917077,0.8423021756426945,0.002
1,acos,0.05,optimized,10,30,1.049398163641189,1.024401368429967,0.5953504095478337,0.957399562868566,0.0019,1.051298163641189,1.045132133917077,0.8423021756426945,0.002
1,acos,0.05,optimized,10,35,1.049398163641189,1.024401368429967,0.590093587261632,0.9723985301258564,0.0019,1.051298163641189,1.045132133917077,0.8423021756426945,0.002
1,acos,0.05,optimized,10,40,1.049398163641189,1.024401368429967,0.5857189031777332,0.9816782478919582,0.0019,1.051298163641189,1.045132133917077,0.8423021756426945,0.002
1,acos,0.05,optimized,10,45,1.049398163641189,1.024401368429967,0.5823017731775291,0.9875694385386036,0.0019,1.051298163641189,1.045132133917077,0.8423021756426945,0.002
1,acos,0.05,optimized,10,50,1.049398163641189,1.024401368429967,0.5799958792158794,0.991839031055128,0.0019,1.051298163641189,1.045132133917077,0.8423021756426945,0.002
1,acos,0.05,optimized,20,5,1.0032596505526656,1.0016284992713944,0.71898197242842,0.5783629355790643,0.0019,1.0051596505526657,1.01675370666678,0.8179753987949916,0.002
1,acos,0.05,optimized,20,10,1.0032596505526656,1.0016284992713944,0.6686284906327324,0.770040165271259,0.0019,1.0051596505526657,1.01675370666678,0.8179753987949916,0.002
1,acos,0.05,optimized,20,15,1.0032596505526656,1.0016284992713944,0.6381204161691967,0.8527723155989052,0.0019,1.0051596505526657,1.01675370666678,0.8179753987949916,0.002
1,acos,0.05,optimized,20,20,1.0032596505526656,1.0016284992713944,0.6197763935682491,0.9059576165116556,0.0019,1.0051596505526657,1.01675370666678,0.8179753987949916,0.002
